id,question_type,question,choices,answer
tagp_filter_0082,mc,What is the error code?,"A) ERR_TIMEOUT_DB_CONNECTION
B) ERR_BUFFER_OVERFLOW
C) ERR_RATE_LIMIT
D) ERR_STACK_OVERFLOW",A
tagp_sustained_0208,mc,Which user was logged in at 09:25?,"A) User 6
B) User 5
C) User 9
D) User 7",A
tagp_shift_0029,mc,Which item has better quality?,"A) Item B
B) Item E
C) Item A
D) Item C",A
tagp_divided_0223,mc,Words starting with 'A'? AND Fruits with 5 letters?,"A) 3, 2
B) 2, 3
C) 3, 3
D) 2, 2",A
tagp_sustained_0342,mc,Which server runs the API?,"A) Server B
B) Server F
C) Server A
D) Server G",A
tagp_needle_0340,mc,What is the correct password?,"A) CORRECT_answ3r!XK9
B) monkey123
C) 123456
D) letmein789",A
tagp_needle_0226,mc,What is the correct password?,"A) CORRECT_answ3r!XK9
B) football
C) qwerty123
D) monkey123",A
tagp_divided_0204,mc,How many even numbers? AND How many numbers > 5?,"A) 5, 4
B) 4, 5
C) 5, 5
D) 4, 4",A
tagp_sustained_0239,mc,In which chapter does the hero lose hope?,"A) Chapter 8
B) Chapter 7
C) Chapter 9
D) Chapter 5",A
tagp_filter_0030,mc,What is the API key?,"A) sk_live_abc123xyz789
B) pk_live_ghi789rst345
C) sk_live_banana456grape
D) sk_test_def456uvw012",A
tagp_needle_0205,mc,What is the REAL error message?,"A) REAL_bug_buffer_overflow_0xdeadbeef
B) ERROR: division by zero 
C) ERROR: REAL_bug_buffer_overflow_0xdeadbeef 
D) ERROR: null pointer ",A
tagp_filter_0221,mc,What is the critical message?,"A) System failure in production
B) Server overload detected
C) Critical system error
D) Database connection lost",A
tagp_filter_0362,mc,What is the critical message?,"A) System failure in production
B) Security breach attempt
C) Server overload detected
D) Database connection lost",A
tagp_sustained_0277,mc,Which server runs the API?,"A) Server B
B) Server A
C) Server C
D) Server F",A
tagp_divided_0302,mc,How many even numbers? AND How many numbers > 5?,"A) 5, 4
B) 4, 5
C) 5, 5
D) 4, 4",A
tagp_filter_0391,mc,What is the error code?,"A) ERR_TIMEOUT_DB_CONNECTION
B) ERR_DIVISION_BY_ZERO
C) ERR_NULL_POINTER
D) ERR_STACK_OVERFLOW",A
tagp_needle_0063,mc,What is the REAL error message?,"A) REAL_bug_buffer_overflow_0xdeadbeef
B) ERROR: division by zero 
C) ERROR: REAL_bug_buffer_overflow_0xdeadbeef 
D) ERROR: null pointer ",A
tagp_divided_0231,mc,Words starting with 'A'? AND Fruits with 5 letters?,"A) 3, 2
B) 2, 3
C) 3, 3
D) 2, 2",A
tagp_needle_0199,mc,What is the REAL error message?,"A) REAL_bug_buffer_overflow_0xdeadbeef
B) ERROR: REAL_bug_buffer_overflow_0xdeadbeef 
C) ERROR: null pointer
D) ERROR: division by zero ",A
tagp_needle_0086,mc,What is the correct password?,"A) CORRECT_answ3r!XK9
B) hunter2
C) monkey123
D) password1",A
tagp_shift_0350,mc,Which vehicle is fastest?,"A) car
B) bike
C) train
D) bus",A
tagp_needle_0148,mc,What is the correct password?,"A) CORRECT_answ3r!XK9
B) 123456
C) letmein789
D) password1",A
tagp_sustained_0028,mc,Which user was logged in at 09:25?,"A) User 6
B) User 5
C) User 4
D) User 9",A
tagp_needle_0130,mc,What is the correct password?,"A) CORRECT_answ3r!XK9
B) football
C) admin456
D) password1",A
tagp_sustained_0196,mc,When was phase 2 completed?,"A) March
B) November
C) December
D) June",A
tagp_sustained_0255,mc,How did Alice pay?,"A) cash
B) debit card
C) credit card
D) bank transfer",A
tagp_shift_0146,mc,Which vehicle is fastest?,"A) car
B) bike
C) bus
D) truck",A
tagp_divided_0357,mc,Words starting with 'A'? AND Fruits with 5 letters?,"A) 3, 2
B) 2, 3
C) 3, 3
D) 2, 2",A
tagp_sustained_0095,mc,How did Alice pay?,"A) cash
B) bank transfer
C) debit card
D) credit card",A
tagp_divided_0081,mc,Words starting with 'A'? AND Fruits with 5 letters?,"A) 3, 2
B) 2, 3
C) 3, 3
D) 2, 2",A
tagp_filter_0045,mc,What is the API key?,"A) sk_live_abc123xyz789
B) pk_test_orange789apple
C) sk_test_def456uvw012
D) pk_live_ghi789rst345",A
tagp_divided_0055,mc,Words starting with 'A'? AND Fruits with 5 letters?,"A) 3, 2
B) 2, 3
C) 3, 3
D) 2, 2",A
tagp_divided_0015,mc,Words starting with 'A'? AND Fruits with 5 letters?,"A) 3, 2
B) 2, 3
C) 3, 3
D) 2, 2",A
tagp_sustained_0161,mc,When was phase 2 completed?,"A) March
B) August
C) December
D) November",A
tagp_needle_0255,mc,What is the REAL error message?,"A) REAL_bug_buffer_overflow_0xdeadbeef
B) ERROR: null pointer 
C) ERROR: division by zero 
D) ERROR: REAL_bug_buffer_overflow_0xdeadbeef ",A
tagp_filter_0038,mc,What is the critical message?,"A) System failure in production
B) Critical system error
C) Security breach attempt
D) Database connection lost",A
tagp_shift_0130,mc,Which vehicle is fastest?,"A) car
B) train
C) bike
D) bus",A
tagp_sustained_0058,mc,Which user was logged in at 09:25?,"A) User 6
B) User 8
C) User 9
D) User 7",A
tagp_needle_0313,mc,What is the REAL error message?,"A) REAL_bug_buffer_overflow_0xdeadbeef
B) ERROR: division by zero
C) ERROR: null pointer 
D) ERROR: REAL_bug_buffer_overflow_0xdeadbeef ",A
tagp_sustained_0320,mc,How did Alice pay?,"A) cash
B) credit card
C) check
D) debit card",A
