id,task,question,answer,ground_truth_confidence,difficulty,brain_zone,neural_analog
tmp_confidence_calibration_0000,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0001,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0002,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0003,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0004,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0005,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0006,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0007,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0008,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0009,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0010,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0011,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0012,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0013,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0014,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0015,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0016,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0017,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0018,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0019,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0020,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0021,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0022,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0023,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0024,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0025,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0026,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0027,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0028,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0029,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0030,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0031,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0032,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0033,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0034,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0035,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0036,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0037,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0038,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0039,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0040,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0041,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0042,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0043,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0044,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0045,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0046,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0047,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0048,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0049,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0050,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0051,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0052,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0053,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0054,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0055,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0056,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0057,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0058,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0059,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0060,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0061,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0062,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0063,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0064,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0065,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0066,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0067,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0068,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0069,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0070,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0071,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0072,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0073,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0074,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0075,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0076,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0077,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0078,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0079,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0080,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0081,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0082,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0083,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0084,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0085,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0086,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0087,Confidence Calibration,What is the capital of Uzbekistan?,Tashkent,0.95,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0088,Confidence Calibration,Explain quantum superposition in one sentence.,A quantum system exists in multiple states simultaneously until measured.,0.3,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
tmp_confidence_calibration_0089,Confidence Calibration,What is 2^20?,1048576,0.98,3.0,ofc,OFC value judgment requires calibrated confidence for optimal decision-making
