id,question_type,question,answer
tagp_filter_0082,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0208,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0029,factual,Which item has better quality?,Item B
tagp_divided_0223,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0342,factual,Which server runs the API?,Server B
tagp_needle_0340,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0226,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0204,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0239,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0030,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0205,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0221,factual,What is the critical message?,System failure in production
tagp_filter_0362,factual,What is the critical message?,System failure in production
tagp_sustained_0277,factual,Which server runs the API?,Server B
tagp_divided_0302,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0391,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0063,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0231,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0199,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0086,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0350,factual,Which vehicle is fastest?,car
tagp_needle_0148,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0028,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0130,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0196,factual,When was phase 2 completed?,March
tagp_sustained_0255,factual,How did Alice pay?,cash
tagp_shift_0146,factual,Which vehicle is fastest?,car
tagp_divided_0357,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0095,factual,How did Alice pay?,cash
tagp_divided_0081,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0045,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0055,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0015,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0161,factual,When was phase 2 completed?,March
tagp_needle_0255,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0038,factual,What is the critical message?,System failure in production
tagp_shift_0130,factual,Which vehicle is fastest?,car
tagp_sustained_0058,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0313,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0320,factual,How did Alice pay?,cash
tagp_divided_0239,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0296,factual,What is the critical message?,System failure in production
tagp_shift_0373,factual,Which item has better quality?,Item B
tagp_filter_0188,factual,What is the critical message?,System failure in production
tagp_sustained_0179,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0395,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0357,factual,Which item has better quality?,Item B
tagp_filter_0288,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0103,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0405,factual,Which item has better quality?,Item B
tagp_sustained_0307,factual,Which server runs the API?,Server B
tagp_filter_0245,factual,What is the critical message?,System failure in production
tagp_filter_0325,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0030,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0075,factual,How did Alice pay?,cash
tagp_shift_0204,factual,Which vehicle is fastest?,car
tagp_sustained_0281,factual,When was phase 2 completed?,March
tagp_sustained_0369,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0221,factual,Which item has better quality?,Item B
tagp_divided_0174,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0403,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0044,factual,What is the critical message?,System failure in production
tagp_needle_0079,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0132,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0379,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0411,factual,Which item has better quality?,Item B
tagp_shift_0294,factual,Which vehicle is fastest?,car
tagp_needle_0296,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0184,factual,Which vehicle is fastest?,car
tagp_shift_0182,factual,Which vehicle is fastest?,car
tagp_divided_0089,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0273,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0242,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0237,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0352,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0282,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0293,factual,What is the critical message?,System failure in production
tagp_sustained_0047,factual,Which server runs the API?,Server B
tagp_needle_0050,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0135,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0246,factual,Which vehicle is fastest?,car
tagp_filter_0327,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0062,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0342,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0136,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0007,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0216,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0017,factual,What is the critical message?,System failure in production
tagp_shift_0016,factual,Which vehicle is fastest?,car
tagp_needle_0319,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0232,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0221,factual,When was phase 2 completed?,March
tagp_filter_0010,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_shift_0439,factual,Which item has better quality?,Item B
tagp_filter_0194,factual,What is the critical message?,System failure in production
tagp_shift_0243,factual,Which item has better quality?,Item B
tagp_needle_0120,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0086,factual,When was phase 2 completed?,March
tagp_needle_0000,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0356,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0142,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0209,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0185,factual,How did Alice pay?,cash
tagp_shift_0105,factual,Which item has better quality?,Item B
tagp_shift_0340,factual,Which vehicle is fastest?,car
tagp_sustained_0188,factual,Which user was logged in at 09:25?,User 6
tagp_filter_0290,factual,What is the critical message?,System failure in production
tagp_divided_0276,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0015,factual,Which item has better quality?,Item B
tagp_needle_0378,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0242,factual,Which server runs the API?,Server B
tagp_shift_0298,factual,Which vehicle is fastest?,car
tagp_needle_0353,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0017,factual,Which server runs the API?,Server B
tagp_needle_0217,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0335,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0184,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0418,factual,Which vehicle is fastest?,car
tagp_divided_0046,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0140,factual,What is the critical message?,System failure in production
tagp_needle_0010,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0113,factual,Which user was logged in at 09:25?,User 6
tagp_shift_0283,factual,Which item has better quality?,Item B
tagp_filter_0141,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0433,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0414,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0228,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0293,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0103,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0415,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0133,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0238,factual,Which vehicle is fastest?,car
tagp_sustained_0211,factual,When was phase 2 completed?,March
tagp_sustained_0430,factual,How did Alice pay?,cash
tagp_needle_0357,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0303,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_sustained_0354,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_sustained_0171,factual,When was phase 2 completed?,March
tagp_filter_0089,factual,What is the critical message?,System failure in production
tagp_sustained_0091,factual,When was phase 2 completed?,March
tagp_filter_0306,factual,What is the API key?,sk_live_abc123xyz789
tagp_shift_0332,factual,Which vehicle is fastest?,car
tagp_needle_0071,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0257,factual,What is the critical message?,System failure in production
tagp_sustained_0092,factual,Which server runs the API?,Server B
tagp_filter_0343,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0080,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0431,factual,When was phase 2 completed?,March
tagp_divided_0008,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0185,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0372,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0251,factual,When was phase 2 completed?,March
tagp_filter_0037,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0187,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0037,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0236,factual,When was phase 2 completed?,March
tagp_shift_0053,factual,Which item has better quality?,Item B
tagp_filter_0244,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0153,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_filter_0118,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0232,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0208,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0286,factual,Which vehicle is fastest?,car
tagp_shift_0237,factual,Which item has better quality?,Item B
tagp_sustained_0175,factual,How did Alice pay?,cash
tagp_sustained_0237,factual,Which server runs the API?,Server B
tagp_needle_0411,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0288,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0141,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_divided_0151,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0008,factual,Which vehicle is fastest?,car
tagp_filter_0091,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0054,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_divided_0420,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0014,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0313,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0045,factual,How did Alice pay?,cash
tagp_shift_0370,factual,Which vehicle is fastest?,car
tagp_filter_0407,factual,What is the critical message?,System failure in production
tagp_sustained_0074,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_sustained_0392,factual,Which server runs the API?,Server B
tagp_filter_0155,factual,What is the critical message?,System failure in production
tagp_needle_0294,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0097,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0364,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0333,factual,Which item has better quality?,Item B
tagp_shift_0048,factual,Which vehicle is fastest?,car
tagp_needle_0174,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_sustained_0309,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0004,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0015,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0167,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0371,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0310,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_sustained_0173,factual,Which user was logged in at 09:25?,User 6
tagp_needle_0183,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0011,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0347,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_shift_0414,factual,Which vehicle is fastest?,car
tagp_needle_0126,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_shift_0372,factual,Which vehicle is fastest?,car
tagp_sustained_0181,factual,When was phase 2 completed?,March
tagp_filter_0191,factual,What is the critical message?,System failure in production
tagp_shift_0438,factual,Which vehicle is fastest?,car
tagp_needle_0127,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0035,factual,How did Alice pay?,cash
tagp_sustained_0210,factual,How did Alice pay?,cash
tagp_divided_0280,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0307,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0138,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0059,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_needle_0259,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0243,factual,What is the API key?,sk_live_abc123xyz789
tagp_sustained_0260,factual,How did Alice pay?,cash
tagp_sustained_0144,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_needle_0151,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0374,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0327,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0372,factual,Which server runs the API?,Server B
tagp_sustained_0057,factual,Which server runs the API?,Server B
tagp_shift_0321,factual,Which item has better quality?,Item B
tagp_shift_0383,factual,Which item has better quality?,Item B
tagp_shift_0302,factual,Which vehicle is fastest?,car
tagp_sustained_0361,factual,When was phase 2 completed?,March
tagp_needle_0097,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0210,factual,What is the API key?,sk_live_abc123xyz789
tagp_divided_0400,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0357,factual,Which server runs the API?,Server B
tagp_divided_0166,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_filter_0088,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_divided_0359,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0117,factual,Which item has better quality?,Item B
tagp_needle_0415,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_sustained_0136,factual,When was phase 2 completed?,March
tagp_filter_0355,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_filter_0437,factual,What is the critical message?,System failure in production
tagp_divided_0069,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0140,factual,Which vehicle is fastest?,car
tagp_needle_0402,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0253,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_divided_0414,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_sustained_0014,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_shift_0251,factual,Which item has better quality?,Item B
tagp_shift_0172,factual,Which vehicle is fastest?,car
tagp_needle_0054,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0398,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_divided_0140,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_needle_0040,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_needle_0129,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0153,factual,What is the API key?,sk_live_abc123xyz789
tagp_needle_0034,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_divided_0381,factual,Words starting with 'A'? AND Fruits with 5 letters?,"3, 2"
tagp_shift_0346,factual,Which vehicle is fastest?,car
tagp_divided_0148,factual,How many even numbers? AND How many numbers > 5?,"5, 4"
tagp_shift_0054,factual,Which vehicle is fastest?,car
tagp_filter_0349,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_shift_0338,factual,Which vehicle is fastest?,car
tagp_sustained_0160,factual,How did Alice pay?,cash
tagp_filter_0421,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0191,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_needle_0258,factual,What is the correct password?,CORRECT_answ3r!XK9
tagp_filter_0426,factual,What is the API key?,sk_live_abc123xyz789
tagp_filter_0011,factual,What is the critical message?,System failure in production
tagp_shift_0143,factual,Which item has better quality?,Item B
tagp_filter_0041,factual,What is the critical message?,System failure in production
tagp_shift_0242,factual,Which vehicle is fastest?,car
tagp_sustained_0062,factual,Which server runs the API?,Server B
tagp_shift_0408,factual,Which vehicle is fastest?,car
tagp_shift_0262,factual,Which vehicle is fastest?,car
tagp_shift_0173,factual,Which item has better quality?,Item B
tagp_shift_0223,factual,Which item has better quality?,Item B
tagp_shift_0076,factual,Which vehicle is fastest?,car
tagp_shift_0224,factual,Which vehicle is fastest?,car
tagp_sustained_0129,factual,In which chapter does the hero lose hope?,Chapter 8
tagp_filter_0211,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_needle_0159,factual,What is the REAL error message?,REAL_bug_buffer_overflow_0xdeadbeef
tagp_filter_0049,factual,What is the error code?,ERR_TIMEOUT_DB_CONNECTION
tagp_shift_0416,factual,Which vehicle is fastest?,car
tagp_sustained_0187,factual,Which server runs the API?,Server B
