id,question_type,question,choices,answer
tscp_tom_0087,mc,Which best describes: Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,"A) 5 PM (inherited Bob's false belief)
B) I don't know
C) Not applicable
D) None of the above",A
tscp_norm_0311,mc,Which best describes: Guest arrives 15 minutes late to dinner party.,"A) Apology appropriate in most Western contexts
B) I don't know
C) Not applicable
D) None of the above",A
tscp_neg_0403,mc,Which best describes: Startup: Founder A invested $100K and works full-time. Founder B invested $500K but doesn't work. Co-founder C joined with no investment but key technical skills.,"A) Complex equity: B for money, A for work, C for skills
B) I don't know
C) Not applicable
D) None of the above",A
tscp_norm_0032,mc,Which best describes: Coworker's family member passed away. You see them at office.,"A) Brief sympathy, then give space
B) I don't know
C) Not applicable
D) None of the above",A
tscp_neg_0387,mc,Which best describes: Three siblings inherit $300K. Sibling A cared for parents for 5 years. Sibling B visited monthly. Sibling C lived abroad with no contact.,"A) Equitable split: A > B > C
B) I don't know
C) Not applicable
D) None of the above",A
tscp_prag_0047,factual,"Utterance: 'Do you have the time?'
Context: Person approaches stranger on street.",,request for information
tscp_prag_0324,mc,"Which best describes: Utterance: 'Well, that went exactly as planned.'
Context: After a presentation where projector failed, laptop crashed, and speaker tripped on stage.","A) sarcastic with multiple failure cues
B) I don't know
C) Not applicable
D) None of the above",A
tscp_norm_0114,mc,Which best describes: Multi-cultural team meeting. Team member from high-context culture gives indirect feedback. Manager from low-context culture doesn't understand.,"A) Cultural competence: decode high-context communication
B) I don't know
C) Not applicable
D) None of the above",A
tscp_aud_0315,mc,"Which best describes: Topic: How a computer works
Audience: 5-year-old child
Required complexity: simple analogies, basic concepts","A) Computer is like a brain that follows instructions
B) I don't know
C) Not applicable
D) None of the above",A
tscp_prag_0299,mc,"Which best describes: Utterance: 'Well, that went exactly as planned.'
Context: After a presentation where projector failed, laptop crashed, and speaker tripped on stage.","A) sarcastic with multiple failure cues
B) I don't know
C) Not applicable
D) None of the above",A
tscp_aud_0242,factual,"Topic: Blockchain technology
Audience: Business executives
Required complexity: focus on business value, minimal technical detail",,"Emphasize security, transparency, efficiency"
tscp_neg_0330,factual,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,,Fair compromise: both benefit
tscp_norm_0260,factual,Person enters elevator and sees another person inside.,,Minimal acknowledgment expected
tscp_norm_0368,mc,Which best describes: Business meeting in Japan. Foreign executive hands business card with one hand.,"A) Two-handed exchange shows proper respect
B) I don't know
C) Not applicable
D) None of the above",A
tscp_neg_0261,mc,Which best describes: Company offers employee $50K for role worth $70K market rate. Employee asks for $65K. Company says $55K final.,"A) Unfair: Company underpays relative to market
B) I don't know
C) Not applicable
D) None of the above",A
tscp_neg_0439,mc,Which best describes: International treaty: Country A reduces emissions 50% at high cost. Country B reduces 10% at low cost. Country C is developing and increases emissions. Climate impact: global but costs local.,"A) A and B should reduce more, C gets allowance for development
B) I don't know
C) Not applicable
D) None of the above",A
tscp_prag_0418,factual,"Utterance: 'This soup is a bit spicy.'
Context: Diner at restaurant, soup is extremely hot, diner is coughing.",,understatement/litotes
tscp_tom_0079,mc,"Which best describes: In a complex organization: CEO tells VP1 about strategy change. VP1 tells Director A, who tells Manager 1. CEO also tells VP2, who tells Director B, who tells Manager 2. Manager 1 and Manager 2 discuss. CEO assumes all managers know. But Director A was on vacation and didn't tell Manager 1 correctly.","A) Only Manager 2. Manager 1 is misinformed due to vacation gap.
B) I don't know
C) Not applicable
D) None of the above",A
tscp_prag_0359,mc,"Which best describes: Utterance: 'Well, that went exactly as planned.'
Context: After a presentation where projector failed, laptop crashed, and speaker tripped on stage.","A) sarcastic with multiple failure cues
B) I don't know
C) Not applicable
D) None of the above",A
tscp_tom_0237,mc,Which best describes: Alice tells Bob that a surprise party is at 5 PM. Bob tells Charlie it's at 5 PM. Alice changes time to 6 PM but doesn't tell Bob. Bob doesn't tell Charlie about the change.,"A) 5 PM (inherited Bob's false belief)
B) I don't know
C) Not applicable
D) None of the above",A
tscp_neg_0268,mc,Which best describes: Startup: Founder A invested $100K and works full-time. Founder B invested $500K but doesn't work. Co-founder C joined with no investment but key technical skills.,"A) Complex equity: B for money, A for work, C for skills
B) I don't know
C) Not applicable
D) None of the above",A
tscp_norm_0367,mc,Which best describes: Coworker's family member passed away. You see them at office.,"A) Brief sympathy, then give space
B) I don't know
C) Not applicable
D) None of the above",A
tscp_neg_0075,factual,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,,Fair compromise: both benefit
tscp_norm_0371,mc,Which best describes: Guest arrives 15 minutes late to dinner party.,"A) Apology appropriate in most Western contexts
B) I don't know
C) Not applicable
D) None of the above",A
tscp_neg_0000,factual,Alice offers Bob $10 for an item worth $15. Bob counters at $12.,,Fair compromise: both benefit
tscp_prag_0108,factual,"Utterance: 'This soup is a bit spicy.'
Context: Diner at restaurant, soup is extremely hot, diner is coughing.",,understatement/litotes
tscp_tom_0381,mc,Which best describes: John puts his keys on the table and goes outside. Mary moves the keys to a drawer. John's friend tells him 'Mary moved your keys.' John doesn't know where Mary moved them.,"A) Keys were moved, but John doesn't know where
B) I don't know
C) Not applicable
D) None of the above",A
tscp_aud_0014,mc,"Which best describes: Topic: Advanced machine learning
Audience: ML research conference
Required complexity: highly technical, current research, equations expected","A) Assume deep knowledge, discuss cutting-edge techniques
B) I don't know
C) Not applicable
D) None of the above",A
tscp_aud_0396,mc,"Which best describes: Topic: How the internet works
Audience: Grandparent who never used computers
Required complexity: avoid jargon, use familiar comparisons","A) Internet is like a postal system for messages
B) I don't know
C) Not applicable
D) None of the above",A
tscp_norm_0066,mc,Which best describes: Guest arrives 15 minutes late to dinner party.,"A) Apology appropriate in most Western contexts
B) I don't know
C) Not applicable
D) None of the above",A
tscp_tom_0225,mc,Which best describes: Sally puts a toy in a basket and leaves. Anne moves the toy to a box. Sally returns.,"A) basket (false belief)
B) I don't know
C) Not applicable
D) None of the above",A
