id,question_type,question,choices,answer
thlp_belief_0047,mc,"Which best describes: Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?","A) 100°C
B) 90°C
C) 110°C
D) 120°C",A
thlp_fewshot_0063,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: cat -> Output: tac
Input: dog -> Output: god

Test: bird","A) drib
B) bird
C) bdir
D) drbi",A
thlp_belief_0235,mc,"Which best describes: Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?","A) 100°C
B) 90°C
C) 110°C
D) 120°C",A
thlp_error_0307,mc,"Which best describes: I incorrectly stated that whales are fish.

Whales are mammals, not fish.

Are whales fish or mammals?","A) Mammals
B) I don't know
C) Not applicable
D) None of the above",A
thlp_fewshot_0334,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: 1, 2 -> Output: 3
Input: 3, 5 -> Output: 8

Test: 2, 7","A) 9
B) cat
C) dog
D) bird",A
thlp_reward_0221,factual,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",,negative_reward
thlp_reward_0263,factual,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",,negative_reward
thlp_error_0060,factual,"I previously said 7 × 8 = 56.

No, 7 × 8 = 54.

What is 7 × 8?",,54
thlp_reward_0339,factual,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",,negative_reward
thlp_belief_0135,mc,"Which best describes: Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?","A) 100°C
B) 90°C
C) 110°C
D) 120°C",A
thlp_reward_0419,factual,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",,negative_reward
thlp_reward_0266,factual,"Action: Solve puzzle quickly

Reward: Correct! Good speed.

What reward did you receive?",,positive_reward
thlp_context_0422,factual,"A train leaves station A at 8 AM traveling at 60 mph. Station B is 180 miles away. At 9:30 AM, a second train leaves station B traveling at 80 mph.

At what time do the trains meet?",,10:08 AM
thlp_fewshot_0361,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: apple -> Output: Apple
Input: banana -> Output: Banana

Test: cherry","A) Cherry
B) cat
C) dog
D) bird",A
thlp_error_0429,mc,"Which best describes: I incorrectly stated that whales are fish.

Whales are mammals, not fish.

Are whales fish or mammals?","A) Mammals
B) I don't know
C) Not applicable
D) None of the above",A
thlp_context_0163,mc,"Which best describes: A company has 4 departments. Department A has 12 employees. Department B has 8 but is hiring 3 more. Department C lost 2 employees who moved to Department D. Department D originally had 10 employees and received a team of 5 from Department A. Department A also sent 2 employees to Department E, which started with 7.

How many employees are in each department now?","A) A: 5, B: 11, C: 8, D: 15, E: 9
B) I don't know
C) Not applicable
D) None of the above",A
thlp_context_0325,factual,"Alice bought 3 apples, 2 oranges, and 5 bananas.

How many fruits did Alice buy total?",,10
thlp_error_0011,mc,"Which best describes: I incorrectly stated that whales are fish.

Whales are mammals, not fish.

Are whales fish or mammals?","A) Mammals
B) I don't know
C) Not applicable
D) None of the above",A
thlp_reward_0201,factual,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",,negative_reward
thlp_fewshot_0007,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: cat -> Output: tac
Input: dog -> Output: god

Test: bird","A) drib
B) bird
C) bdir
D) drbi",A
thlp_fewshot_0201,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: apple -> Output: Apple
Input: banana -> Output: Banana

Test: cherry","A) Cherry
B) cat
C) dog
D) bird",A
thlp_reward_0342,factual,"Action: Solve puzzle quickly

Reward: Correct! Good speed.

What reward did you receive?",,positive_reward
thlp_reward_0281,factual,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",,negative_reward
thlp_belief_0149,mc,"Which best describes: Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?","A) 100°C
B) 90°C
C) 110°C
D) 120°C",A
thlp_fewshot_0451,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: cat -> Output: tac
Input: dog -> Output: god

Test: bird","A) drib
B) bird
C) bdir
D) drbi",A
thlp_reward_0084,factual,"Action: Solve puzzle quickly

Reward: Correct! Good speed.

What reward did you receive?",,positive_reward
thlp_reward_0333,factual,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",,negative_reward
thlp_belief_0212,factual,"Paris is the capital of Australia.

Actually, Canberra is the capital of Australia.

What is the capital of Australia?",,Canberra
thlp_belief_0113,mc,"Which best describes: Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?","A) 100°C
B) 90°C
C) 110°C
D) 120°C",A
thlp_context_0096,factual,"Bob has 5 cats. Yesterday he bought 3 more cats. Then he gave 2 cats to Carol. Before that, he had adopted 4 kittens.

How many cats does Bob have now?",,10
thlp_fewshot_0107,mc,"Which best describes: Learn the rule from these examples and apply to the test case.

Input: cat -> Output: tac
Input: dog -> Output: god

Test: bird","A) drib
B) bird
C) bdir
D) drbi",A
thlp_belief_0335,mc,"Which best describes: Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?","A) 100°C
B) 90°C
C) 110°C
D) 120°C",A
thlp_belief_0082,factual,"Paris is the capital of Australia.

Actually, Canberra is the capital of Australia.

What is the capital of Australia?",,Canberra
