id,question_type,question,answer,choices
tmp_confidence_calibration_0000,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0001,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0002,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0003,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0004,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0005,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0006,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0007,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0008,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0009,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0010,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0011,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0012,factual,What is the capital of Uzbekistan?,Tashkent,
tmp_confidence_calibration_0013,mc,Which best describes: Explain quantum superposition in one sentence.,A,"A) A quantum system exists in multiple states simultaneously until measured.
B) A system transitions between states sequentially
C) A system collapses into superposition after observation
D) Multiple systems share a single quantum state"
tmp_confidence_calibration_0014,factual,What is 2^20?,1048576,
tmp_confidence_calibration_0015,factual,What is the capital of Uzbekistan?,Tashkent,
