random_value,computed,error_pct,n,k,m,p,q
927316720.5703251000,100360.2039083145,99.989177,9,4,0,4,3
0.0000000085,0.0000028922,33988.633928,1,-4,-3,-4,-3
0.0000144374,0.0000144611,0.164279,5,-4,-3,-4,-3
225724385006216870000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
24.3675316176,24.3607242119,0.027936,8,3,-1,2,-2
223928176076458760000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
12557077990278824.0000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
40941823584262550000000000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
1584326372488465600000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
2769491059501863000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
443748.7726977994,100360.2039083145,77.383553,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000005978,0.0000028922,383.802272,1,-4,-3,-4,-3
25442648960.4370840000,100360.2039083145,99.999606,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
24469840836678675000000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
3977591988810747000.0000000000,100360.2039083145,100.000000,9,4,0,4,3
1013773932918653400000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
26081259897.5375500000,100360.2039083145,99.999615,9,4,0,4,3
127457639462377520000.0000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
253184859902418200000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
1755934145911157500000000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.1072340846,0.1071773591,0.052899,4,3,-3,-1,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
43075711047151.1300000000,100360.2039083145,100.000000,9,4,0,4,3
7083555966926919.0000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
1812018667.3911920000,100360.2039083145,99.994461,9,4,0,4,3
377729628.0200067000,100360.2039083145,99.973431,9,4,0,4,3
68048327281266090000.0000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
418708980406455240000.0000000000,100360.2039083145,100.000000,9,4,0,4,3
5902947980107.0060000000,100360.2039083145,99.999998,9,4,0,4,3
0.0004732740,0.0004737296,0.096270,1,-3,-3,-4,1
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
766576490779283600.0000000000,100360.2039083145,100.000000,9,4,0,4,3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
247993601985127400000000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0779576244,0.0779277867,0.038274,8,-2,-3,0,1
45416360139698330000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
57659085045020510000000000.0000000000,0.0000028922,100.000000,1,-4,-3,-4,-3
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
0.0000000000,1.0000000000,100.000000,1,0,0,0,0
