id,task,question,answer,ground_truth,examples_count,context_length,difficulty,brain_zone,neural_analog
thlp_belief_0047,Belief Update Under Correction,"Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?",100°C,100°C,0,49,9.6981,hippocampus,Hippocampus cache invalidation triggers belief revision
thlp_fewshot_0063,Few-Shot Rule Induction,"Learn the rule from these examples and apply to the test case.

Input: cat -> Output: tac
Input: dog -> Output: god

Test: bird",drib,drib,6,51,17.3515,hippocampus,Hippocampus PopulationCache stores patterns for fast retrieval and completion
thlp_belief_0235,Belief Update Under Correction,"Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?",100°C,100°C,0,49,3.0,hippocampus,Hippocampus cache invalidation triggers belief revision
thlp_error_0307,Error-Driven Learning,"I incorrectly stated that whales are fish.

Whales are mammals, not fish.

Are whales fish or mammals?",Mammals,Mammals,0,27,9.6981,amygdala,Amygdala strengthens associations on prediction errors
thlp_fewshot_0334,Few-Shot Rule Induction,"Learn the rule from these examples and apply to the test case.

Input: 1, 2 -> Output: 3
Input: 3, 5 -> Output: 8

Test: 2, 7",9,9,8,49,30.861,hippocampus,Hippocampus PopulationCache stores patterns for fast retrieval and completion
thlp_reward_0221,Reward-Signal Learning,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",negative_reward,negative_reward,0,28,5.5051,accumbens,ACCumbens tracks reward stationarity for reinforcement
thlp_reward_0263,Reward-Signal Learning,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",negative_reward,negative_reward,0,28,17.3515,accumbens,ACCumbens tracks reward stationarity for reinforcement
thlp_error_0060,Error-Driven Learning,"I previously said 7 × 8 = 56.

No, 7 × 8 = 54.

What is 7 × 8?",54,54,0,14,3.0,amygdala,Amygdala strengthens associations on prediction errors
thlp_reward_0339,Reward-Signal Learning,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",negative_reward,negative_reward,0,28,30.861,accumbens,ACCumbens tracks reward stationarity for reinforcement
thlp_belief_0135,Belief Update Under Correction,"Water boils at 90°C.

Water boils at 100°C at sea level.

At what temperature does water boil at sea level?",100°C,100°C,0,49,3.0,hippocampus,Hippocampus cache invalidation triggers belief revision
thlp_reward_0419,Reward-Signal Learning,"Action: Incorrect answer

Reward: Incorrect. Try again.

What reward did you receive?",negative_reward,negative_reward,0,28,30.861,accumbens,ACCumbens tracks reward stationarity for reinforcement
thlp_reward_0266,Reward-Signal Learning,"Action: Solve puzzle quickly

Reward: Correct! Good speed.

What reward did you receive?",positive_reward,positive_reward,0,28,5.5051,accumbens,ACCumbens tracks reward stationarity for reinforcement
thlp_context_0422,Long-Context Retention,"A train leaves station A at 8 AM traveling at 60 mph. Station B is 180 miles away. At 9:30 AM, a second train leaves station B traveling at 80 mph.

At what time do the trains meet?",10:08 AM,10:08 AM,0,8,9.6981,hippocampus,Hippocampus consolidates episodic memory with Fibonacci capacity
thlp_fewshot_0361,Few-Shot Rule Induction,"Learn the rule from these examples and apply to the test case.

Input: apple -> Output: Apple
Input: banana -> Output: Banana

Test: cherry",Cherry,Cherry,2,61,5.5051,hippocampus,Hippocampus PopulationCache stores patterns for fast retrieval and completion
thlp_error_0429,Error-Driven Learning,"I incorrectly stated that whales are fish.

Whales are mammals, not fish.

Are whales fish or mammals?",Mammals,Mammals,0,27,30.861,amygdala,Amygdala strengthens associations on prediction errors
thlp_context_0163,Long-Context Retention,"A company has 4 departments. Department A has 12 employees. Department B has 8 but is hiring 3 more. Department C lost 2 employees who moved to Department D. Department D originally had 10 employees and received a team of 5 from Department A. Department A also sent 2 employees to Department E, which started with 7.

How many employees are in each department now?","A: 5, B: 11, C: 8, D: 15, E: 9","A: 5, B: 11, C: 8, D: 15, E: 9",0,13,17.3515,hippocampus,Hippocampus consolidates episodic memory with Fibonacci capacity
thlp_context_0325,Long-Context Retention,"Alice bought 3 apples, 2 oranges, and 5 bananas.

How many fruits did Alice buy total?",10,10,0,3,3.0,hippocampus,Hippocampus consolidates episodic memory with Fibonacci capacity
